Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Oranges,3,372.4746749,52489.75956,Education,124.158225,No,422.765061,Yes,Female,After_16:00,0.171234871,0.521497688,2.483169653,1.773189718,7.507918784,0.977430809,5659,2.806329657,567.555956,5362.762522,70087.00683,Yes,178730.2968,23.82343292,645432.9663,66.01379667,15549.42306,100,Below_30,3,933.4143516,13,Public_or_other,Public_Sector,760.6749702,1,No
Yellows,5,346.3511916,48413.00888,Social,115.4503972,No,419.3403405,Yes,Male,By_16:00,0.520277889,0.880944102,7.217916148,0.114605955,0.508063685,3.12644555,6793,40.48134657,574.1295433,5341.662492,67081.5896,Yes,175846.3212,23.96100047,660288.4766,15.35671565,13454.24461,70,45_and_up,2,863.4862828,6,Car,Industry_or_other,609.6713196,2,No
Reds,7,363.4039743,46017.6308,Healthcare,121.1346581,No,379.8882296,Yes,Male,By_16:00,0.311634776,0.165607756,3.00642095,5.623728682,6.996368826,1.294211061,4256,86.62318208,692.8523858,5184.587067,81193.07814,Yes,144315.067,26.32208931,961318.1708,56.3649833,14804.74005,80,30-45,1,1081.268739,10,Public_or_other,Student_or_Unemployed,839.4255381,0,No
Reds,2,215.5271283,28613.22434,Environment,71.84237612,No,398.2778116,Yes,Male,By_16:00,0.057690306,0.313989894,6.860342894,8.654011097,9.346259774,9.988523342,3005,8.643401251,698.3121251,5379.402367,82098.82666,Yes,158625.2152,26.42559602,976534.1492,18.17282063,5243.169382,90,45_and_up,2,1091.420299,14,Car,Student_or_Unemployed,846.2232109,2,No
Blues,7,458.6005369,66938.32111,Financial,152.8668456,No,437.886455,Yes,Female,After_16:00,0.337998388,0.580372914,1.602638308,7.514308048,1.757377945,3.590206255,6613,76.64732146,606.2126082,5591.289766,69913.10777,Yes,191744.5474,24.62138518,736042.8187,47.61989927,23531.13934,60,30-45,3,893.119762,5,Car,Public_Sector,607.4795382,0,No
Reds,3,552.6386922,102045.8824,Social,184.2128974,No,553.9562314,No,Female,By_16:00,0.670305935,0.006588021,7.195099497,2.903698385,9.547877458,5.482388872,7950,2.687089774,643.3370807,6826.236476,76430.42114,Yes,306867.5063,25.36409038,829005.0768,77.34665093,34128.60447,70,Below_30,2,972.3598381,2,Public_or_other,Student_or_Unemployed,675.9216846,0,No
Greys,9,78.99124943,16520.90683,Healthcare,26.33041648,No,627.4457088,No,Male,After_16:00,0.35592525,0.977526234,6.196211663,5.237126262,9.004217426,8.601918882,4315,93.47595237,577.918921,7430.294931,71843.04529,Yes,393688.1175,24.03994428,667980.5585,10.38307846,729.6212482,80,Below_30,0,907.7184378,20,Motorcycle_or_truck,Public_Sector,649.6936755,0,No
Oranges,8.666666667,225.4062305,59587.33748,Environment,75.13541017,No,793.0659771,No,Male,By_16:00,0.54409398,0.686506681,8.662388606,1.816338184,1.980346025,8.683413218,4801,47.55886153,812.4715115,9555.602794,93460.5876,Yes,628953.644,28.5038859,1321674.317,69.93217866,5730.465271,90,45_and_up,0,1136.199329,5,Car,Industry_or_other,651.3367423,3,No
Reds,8,526.5104336,66596.10227,Education,175.5034779,No,379.4574505,Yes,Female,By_16:00,0.319837097,0.306009741,0.952651985,6.339429512,9.682536037,6.350133729,9700,1.79591116,684.8868812,5164.348267,80736.17224,Yes,143987.9567,26.17034354,938140.0801,31.06954636,30986.97422,100,45_and_up,2,1078.136223,20,Motorcycle_or_truck,Services_or_Retail,847.5845691,0,No
Yellows,3,161.3169167,25092.62582,Healthcare,53.77230555,No,466.6458981,Yes,Male,By_16:00,0.881041469,0.218127061,7.041682054,2.311846823,0.824160767,9.475502016,8181,20.91710242,591.6663995,5849.79178,69788.2551,Yes,217758.3942,24.32419371,701246.2923,73.05523881,2955.23315,80,45_and_up,1,894.8591944,11,Car,Industry_or_other,631.3896901,0,No
Pinks,1,237.5771209,74995.59497,Other,79.19237364,No,947.0052674,No,Male,After_16:00,0.019529878,0.675324682,3.607381475,2.391618805,3.254134397,2.507140473,7864,22.01080788,892.7913764,11255.63543,110372.5881,Yes,896818.9765,29.87961473,1596103.375,32.93174892,6360.624416,50,Below_30,3,1394.955992,11,Public_or_other,Student_or_Unemployed,993.4864539,0,Yes
Blues,7,370.1787014,52760.43095,Financial,123.3929005,No,427.5807664,Yes,Male,After_16:00,0.081002814,0.972927757,4.541166069,9.871070122,9.060337646,5.532017732,6830,65.93637425,576.9780212,5429.763707,66895.04528,Yes,182825.3118,24.0203668,666830.4168,69.90325423,15359.20078,60,30-45,1,854.8193947,8,Car,Public_Sector,585.562198,0,No
Pinks,3,1013.676014,239077.5136,Other,337.8920046,No,707.5559952,No,Male,By_16:00,0.310214167,0.144233996,5.363208279,9.502800426,6.78106877,6.75811029,4175,59.92368227,667.7292318,8411.018415,81762.07501,Yes,500635.4863,25.84045727,893151.5701,79.96449119,114518.8988,50,45_and_up,4,1026.392007,3,Public_or_other,Hightech,709.3601978,0,Yes
Oranges,9,641.7406064,89238.17695,Education,213.9135355,No,417.1693799,Yes,Female,After_16:00,0.788138778,0.094340909,8.517467172,2.212424309,8.982732755,1.014213217,5547,9.066271223,566.7563297,5305.206459,69413.81179,Yes,174030.2915,23.80664465,643590.9667,5.813709553,45982.91419,100,45_and_up,1,920.9590686,7,Motorcycle_or_truck,Services_or_Retail,738.3228677,0,No
Reds,4,786.2891024,152054.8417,Social,262.0963675,No,580.1486039,No,Female,After_16:00,0.687105313,0.952686849,1.263493306,1.785027697,7.216827692,4.260973616,7493,99.9565338,605.1217378,7011.729515,73839.03179,Yes,336572.4027,24.5992223,733611.5996,37.15465355,68966.60221,70,30-45,0,941.0323918,16,Public_or_other,Services_or_Retail,676.8159348,1,No
Greys,5,135.2673306,19908.41494,Financial,45.0891102,No,441.5348819,Yes,Male,After_16:00,0.866826358,0.857515453,8.212598534,2.169572581,8.25814974,3.568143549,6628,94.28231765,575.9009807,5567.15078,70557.22913,Yes,194953.0519,23.99793701,664513.6338,57.78249677,2088.116969,60,45_and_up,3,931.5743204,9,Motorcycle_or_truck,Industry_or_other,738.2198992,0,No
Oranges,8,825.8149368,109035.1448,Healthcare,275.2716456,No,396.1001671,Yes,Male,By_16:00,0.896548047,0.26363311,7.073468538,8.499182344,7.073350397,0.422085251,7787,25.07703567,577.8674909,5116.736653,70595.7574,Yes,156895.3424,24.03887458,669034.4115,8.315875358,76059.75052,80,30-45,4,943.0093516,5,Foot_or_bicycle,Public_Sector,766.6371861,0,No
Yellows,8,249.7268001,35703.33568,Environment,83.24226671,No,428.9087394,Yes,Female,After_16:00,0.121297129,0.811597452,0.431315838,6.932397617,2.460225245,5.454764639,7770,97.9555774,608.136332,5505.360058,70214.86077,Yes,183962.7068,24.66042035,740719.0492,18.83200284,7022.517233,90,Below_30,5,900.4854345,18,Public_or_other,Services_or_Retail,620.5437234,0,No
Yellows,9,512.5515346,103262.2318,Education,170.8505115,No,604.4010689,No,Female,After_16:00,0.46955921,0.434954437,7.480658353,3.473628613,7.176881116,7.470363961,7696,59.70247437,588.3784102,7220.76751,75635.45866,Yes,365300.6521,24.25651274,693787.9415,67.67351257,29370.7478,100,30-45,1,987.5973646,10,Foot_or_bicycle,Public_Sector,795.2333772,0,No
Browns,4,1956.564232,137436.7681,Education,652.1880775,Yes,210.731801,Yes,Male,After_16:00,0.377190102,0.07212021,2.148119388,2.378889504,2.227653828,1.604873484,3904,17.55608034,539.5376301,3186.39327,47451.2307,No,44407.89194,23.22794933,582453.1265,85.30191814,426011.4765,100,Below_30,1,522.0000836,7,Public_or_other,Public_Sector,30.68607288,0,No
Oranges,7,237.5213874,62873.7915,Environment,79.17379579,No,794.1237485,No,Male,By_16:00,0.749793137,0.367047923,9.658568276,2.217160026,9.090577462,9.16234629,3820,30.9030649,847.9327364,9637.102958,97561.99789,Yes,630632.5279,29.11928461,1439489.508,32.93570469,6357.663736,90,30-45,2,1195.318691,16,Foot_or_bicycle,Hightech,705.5337066,0,No
Oranges,8,163.6710826,23751.62102,Social,54.55702755,No,435.3540155,Yes,Male,By_16:00,0.207954433,0.985296743,3.608757548,1.300855568,0.536435887,2.819635863,8290,86.58222985,618.8843768,5591.308908,75621.26263,Yes,189533.1188,24.87738686,767294.554,70.80264858,3041.026283,70,45_and_up,1,1007.259476,6,Foot_or_bicycle,Hightech,813.4562708,2,No
Reds,3,734.848725,156459.9394,Financial,244.949575,No,638.7434615,No,Female,By_16:00,0.848057523,0.861144627,7.621879661,1.750584578,6.724484111,3.440771506,9076,26.79645679,674.0399693,7735.514554,80752.82461,Yes,407993.2096,25.96227974,910002.8948,60.60077131,60255.24388,60,30-45,4,1017.705715,16,Public_or_other,Industry_or_other,694.390792,0,No
Yellows,7,452.4126372,63592.01506,Education,150.8042124,No,421.6859334,Yes,Female,By_16:00,0.865922712,0.410708996,5.532328384,3.043127633,3.596518091,3.475688363,7034,78.81322019,596.7520295,5410.363392,69025.30119,Yes,177819.0264,24.42850854,712225.9694,54.3523829,22902.71469,100,30-45,1,886.1253758,20,Foot_or_bicycle,Industry_or_other,613.7599121,0,No
Yellows,5,314.4975313,41386.624,Social,104.8325104,No,394.7880656,Yes,Female,After_16:00,0.65491318,0.907532586,7.253948885,4.056749288,4.500827356,0.870384469,8083,25.71891337,600.1356198,5148.151896,68736.04307,Yes,155857.6167,24.4976656,721339.6079,2.457957645,11104.68775,70,45_and_up,1,884.2486115,7,Public_or_other,Industry_or_other,609.2954942,1,No
Yellows,6,274.7448307,38183.72318,Healthcare,91.58161022,No,416.936578,Yes,Male,By_16:00,0.410370794,0.088555287,4.87894272,4.671407985,6.840531519,1.022473339,3642,59.95265688,641.9003037,5453.166388,72777.70547,Yes,173836.1101,25.33575149,825122.3173,75.38197618,8488.77294,80,45_and_up,3,931.0943516,5,Motorcycle_or_truck,Public_Sector,623.3808409,0,No
Oranges,7,662.6007374,89923.93452,Environment,220.8669125,No,407.140814,Yes,Male,After_16:00,0.96861716,0.321640313,4.709939179,0.877864356,1.808833943,1.988567803,8097,12.52330523,555.619038,5182.646216,69529.85859,Yes,165763.6424,23.57157267,618631.6908,33.44579469,49013.05994,90,Below_30,5,935.5308181,11,Public_or_other,Student_or_Unemployed,789.5192051,0,No
Yellows,2,115.6339864,17079.5815,Environment,38.54466214,No,443.1114594,Yes,Male,By_16:00,0.367741894,0.251823257,3.070478891,9.717900369,4.274887666,8.386671131,6034,27.5907561,558.8699206,5548.854435,70299.34123,Yes,196347.7655,23.64042979,625909.3683,92.12613453,1534.235642,90,45_and_up,1,939.8343522,9,Motorcycle_or_truck,Hightech,785.0805554,0,No
Blues,2,88.7981407,18291.48315,Healthcare,29.59938023,No,617.9684508,No,Female,By_16:00,0.985876814,0.600911514,0.967565107,1.501380655,5.255581953,5.968856781,9942,7.779293065,662.2332966,7504.151101,78982.43881,Yes,381885.0062,25.73389393,878407.6863,0.662641251,915.7226903,80,45_and_up,4,994.7266255,8,Public_or_other,Public_Sector,673.8396269,0,No
Blues,9,154.1387396,29820.31751,Financial,51.37957988,No,580.3923968,No,Male,By_16:00,0.011355979,0.052020592,8.907854427,6.041786305,3.391795617,2.596919544,6493,64.22751029,646.9197045,7097.763377,76570.44885,Yes,336855.3343,25.43461626,838250.6092,12.49189884,2701.240808,60,Below_30,1,965.2713594,14,Public_or_other,Student_or_Unemployed,650.0087715,0,No
Greys,7,191.1265238,27499.9623,Healthcare,63.70884125,No,431.6506432,Yes,Female,By_16:00,0.603679983,0.300028409,6.651795947,4.243907284,4.086589438,7.53917468,9223,9.632338234,582.5499905,5481.606413,70385.48901,Yes,186322.2778,24.13607239,679885.5652,5.138386134,4132.525295,80,30-45,3,924.9259,11,Public_or_other,Public_Sector,714.9316886,0,No
Blues,1,316.4596563,60859.95583,Environment,105.4865521,No,576.9451615,No,Male,After_16:00,0.520353817,0.438061502,8.12272073,0.659466079,7.665202967,5.623798147,9123,97.39877579,613.7554526,6996.96252,73296.71771,Yes,332865.7194,24.77408833,754604.0309,35.23183973,11242.89922,90,45_and_up,4,922.8616791,19,Car,Services_or_Retail,625.5745112,0,No
Greys,9,480.0780978,103299.5915,Environment,160.0260326,No,645.5174187,No,Male,After_16:00,0.956362525,0.60411303,3.559793471,0.384576661,2.237652063,5.493747941,3253,76.23873337,578.5350133,7612.244214,72122.92999,Yes,416692.7379,24.0527548,670707.403,33.8363711,25778.35714,90,Below_30,3,908.4144019,18,Public_or_other,Student_or_Unemployed,646.3622961,0,No
Yellows,10,360.014882,67470.48036,Education,120.0049607,No,562.2307611,No,Female,After_16:00,0.220207427,0.106545273,0.637777077,6.295379132,2.677067623,7.320988984,7148,22.8277799,631.269519,6884.846649,79438.51585,Yes,316103.4287,25.12507749,798417.2086,22.94212317,14531.19554,100,45_and_up,2,1045.648934,19,Car,Public_Sector,842.5665821,1,No
Greys,8,122.3396502,18136.94212,Education,40.7798834,No,444.7521819,Yes,Male,After_16:00,0.37312538,0.748246212,0.913167412,5.591222825,9.468370469,0.182333277,7041,77.73795181,618.878656,5685.279131,73580.58169,Yes,197804.5033,24.87727188,767194.1382,57.43236481,1713.778774,100,45_and_up,3,960.3682285,8,Car,Industry_or_other,717.80444,0,No
Yellows,6,492.5302141,74373.26943,Financial,164.176738,No,453.0073524,Yes,Male,After_16:00,0.539325949,0.010717098,9.795646321,1.840164622,8.874018949,2.295413539,5174.333333,87.87380094,567.9182698,5665.910064,68529.16768,Yes,205215.6613,23.83103585,646194.6592,29.76533882,27128.17805,60,30-45,2,891.0919847,6,Foot_or_bicycle,Services_or_Retail,669.3296133,0,No
Reds,9,334.7878619,70804.14999,Financial,111.595954,No,634.4687909,No,Female,By_16:00,0.342075478,0.905036484,8.75000864,3.526982176,7.621762471,9.98774423,7857,88.1795065,716.7935588,7778.275026,85054.4475,Yes,402550.6466,26.77300056,1028966.35,56.85430341,12575.2529,60,Below_30,3,1076.49572,1,Public_or_other,Public_Sector,735.8692761,0,No
Blues,8,290.5572162,42040.41981,Social,96.85240541,No,434.0668631,Yes,Female,After_16:00,0.324241224,0.512131188,3.585212231,6.263038276,5.494785989,5.783786967,5696,16.8787448,589.3674601,5519.403552,67921.83544,Yes,188414.0417,24.27689148,695734.3905,11.53635471,9487.24084,70,30-45,2,864.9961385,6,Car,Industry_or_other,582.3174762,0,No
Yellows,5,685.021099,73930.54446,Financial,228.3403663,No,323.7734337,Yes,Female,After_16:00,0.85875276,0.672391606,0.961593071,4.086092261,4.606850999,7.411077614,9579,6.305272132,611.1479662,4460.03027,68929.34073,Yes,104829.2364,24.72140704,747969.3317,1.999692502,52377.66326,60,30-45,2,898.3530143,10,Motorcycle_or_truck,Public_Sector,631.8850026,0,No
Whites,4,505.7142871,118447.684,Military,168.571429,No,702.6557506,No,Female,By_16:00,0.702881193,0.027257188,4.348999672,4.220899472,7.982460691,0.381313292,5518.333333,58.52234419,793.3315792,8613.220664,97434.62885,Yes,493725.1038,28.16614243,1260420.164,42.91362837,28594.89811,30,30-45,0,1263.023882,3,Car,Hightech,957.5197722,1,Yes
Yellows,8,821.1189191,96799.42404,Financial,273.7063064,No,353.6616504,Yes,Female,After_16:00,0.523544287,0.869739991,5.617595494,5.776604894,0.532179838,4.282407302,5691,96.76710432,580.4781286,4697.572761,65646.66064,Yes,125076.563,24.09311372,674847.1234,19.18593044,75198.84845,60,30-45,1,844.669574,20,Public_or_other,Hightech,573.7461865,0,No
Reds,7,410.6752765,79486.68422,Financial,136.8917588,No,580.653539,No,Male,By_16:00,0.450051584,0.637367657,5.151371786,0.058130799,1.161549005,8.24910043,7268,50.91965008,647.6356358,7101.806661,76710.649,Yes,337158.5323,25.44868633,840107.9083,19.05811552,18886.2454,60,45_and_up,1,967.6480343,19,Public_or_other,Student_or_Unemployed,653.4212163,3,No
Blues,5,442.907131,65156.89491,Social,147.6357103,No,441.3356008,Yes,Male,By_16:00,0.220462851,0.659904626,7.967301514,9.442243141,1.166673573,2.015298777,5891,89.85382176,582.5357106,5578.427429,67997.42097,Yes,194777.1125,24.13577657,679751.0377,74.58569054,21953.93867,70,Below_30,2,870.4126325,8,Foot_or_bicycle,Hightech,603.9938657,2,No
Yellows,5,620.6078723,112520.81,Social,206.8692908,No,543.9222494,No,Male,After_16:00,0.466532025,0.373008647,9.209229175,6.810997322,6.101080712,7.791659955,4472,39.51130954,585.5712969,6610.365088,76989.79136,Yes,295851.4134,24.19858047,687249.9928,45.34576132,43011.77275,70,Below_30,1,1035.6979,18,Foot_or_bicycle,Hightech,908.5830158,0,No
Blues,10,275.4029011,41473.59935,Financial,91.80096704,No,451.7773688,Yes,Male,By_16:00,0.824527016,0.360744604,0.141207934,4.787713233,0.53476908,3.073816306,8883,86.64286882,601.8815027,5721.536694,70028.66557,Yes,204102.791,24.53327338,725601.7653,6.990548759,8529.218517,60,Below_30,2,895.5217434,3,Motorcycle_or_truck,Hightech,617.3013081,0,No
Reds,1,340.0168269,69994.89837,Environment,113.3389423,No,617.5714802,No,Female,By_16:00,0.920407107,0.602927795,1.380900941,5.346154228,4.406236706,5.707459413,3589,23.43085643,677.3015014,7530.317805,80461.6432,Yes,381394.5332,26.02501684,918788.2541,96.29615149,12969.05479,90,45_and_up,1,1014.346063,17,Motorcycle_or_truck,Industry_or_other,686.0351274,0,No
Yellows,2,249.5021766,37645.08096,Healthcare,83.16739221,No,452.6423152,Yes,Male,By_16:00,0.090694411,0.940300195,9.384771653,3.674600883,2.776409236,7.176554326,6691,7.784696342,624.4940088,5775.41117,76159.03542,Yes,204885.0655,24.98987813,781252.7239,40.22209411,7009.98252,80,Below_30,1,1009.582652,8,Motorcycle_or_truck,Hightech,804.5476243,0,No
Yellows,10,158.1770324,22128.44626,Financial,52.72567745,No,419.6901269,Yes,Female,After_16:00,0.285481668,0.504808195,2.338816882,5.953028216,5.14695138,3.694798963,9771,24.72092959,590.4601593,5377.821587,68277.02341,Yes,176139.8026,24.29938599,698320.6755,16.98225201,2842.72274,60,45_and_up,5,875.676167,1,Motorcycle_or_truck,Student_or_Unemployed,604.586022,0,No
Yellows,6,938.8583594,126132.5115,Environment,312.9527865,No,403.0400654,Yes,Female,By_16:00,0.846744708,0.045767258,2.610293347,4.552069595,3.699155392,1.769846345,7138,71.79594759,646.2418579,5322.88437,72547.96532,Yes,162441.2943,25.4212875,836278.6803,20.35851085,98262.39934,90,45_and_up,2,926.2028869,7,Car,Public_Sector,608.5624164,1,No
Yellows,3,261.3210545,50006.74175,Financial,87.10701815,No,574.083958,No,Female,By_16:00,0.308996986,0.772096431,5.768369602,6.246670671,1.193586427,6.696840893,4064,75.11972676,644.2394215,7029.318423,81874.91782,Yes,329572.3908,25.38187191,831567.5716,16.35613448,7684.73963,60,Below_30,3,1084.535545,15,Public_or_other,Industry_or_other,894.6233398,0,No
Blues,2,337.21394,46106.81125,Healthcare,112.4046467,No,410.1859898,Yes,Male,By_16:00,0.755451561,0.342583371,4.564857995,3.143908344,5.516184077,2.958136098,3657,71.21229745,560.1473938,5222.154685,65353.39592,Yes,168252.5462,23.66743319,628540.3238,64.65990318,12757.20924,80,30-45,1,840.1173967,7,Foot_or_bicycle,Hightech,589.9322866,0,No
Blues,2,573.485515,117811.0667,Social,191.1618383,No,616.2896722,No,Female,After_16:00,0.509881148,0.378067842,8.108713627,5.902983863,6.791292648,2.537520668,3034,87.29916436,678.18788,7519.272482,81316.31105,Yes,379812.96,26.04204063,921224.9499,62.37761765,36744.01028,70,30-45,1,1032.527542,12,Public_or_other,Public_Sector,721.058966,3,No
Yellows,1,939.1135884,133559.1368,Education,313.0378628,No,426.6548959,Yes,Male,After_16:00,0.698840746,0.039479786,8.609222416,7.287396356,1.369475978,4.298856098,6290,98.2203604,626.2869951,5519.122949,72064.52558,Yes,182034.4002,25.02572666,785546.9523,63.58473566,98315.74141,100,45_and_up,1,926.0723232,18,Motorcycle_or_truck,Services_or_Retail,639.4970761,1,No
Greens,9,170.2953316,42058.11491,Foreign_Affairs,56.76511053,No,740.9148775,No,Female,By_16:00,0.315681029,0.317560114,8.912108399,0.256496384,9.363497766,0.74502093,5291,45.61497315,944.3713448,9297.891464,103122.0127,Yes,548954.8557,30.73062552,1785076.552,52.3336021,3289.042884,40,Below_30,2,1249.607267,11,Motorcycle_or_truck,Student_or_Unemployed,651.163138,0,Yes
Reds,6,195.5920558,38236.12191,Environment,65.19735195,No,586.4674065,No,Male,After_16:00,0.495230672,0.848150788,4.683630345,3.137393475,4.94381102,7.055058083,3963,12.02741074,628.7169574,7122.10798,76079.85731,Yes,343944.0189,25.07422895,791853.9949,19.30850155,4325.892053,90,30-45,2,968.2431939,8,Motorcycle_or_truck,Services_or_Retail,687.5023831,1,No
Blues,5,170.7150429,23972.63189,Financial,56.90501431,No,421.2745077,Yes,Male,After_16:00,0.150464738,0.996909171,5.668111192,4.015587086,0.902431931,6.503601971,5249,50.22508486,555.058607,5322.862291,65048.79802,Yes,177472.2109,23.55968181,617197.5821,20.36038276,3305.085668,60,30-45,4,834.7767804,13,Public_or_other,Student_or_Unemployed,586.1931666,5,No
Pinks,9,98.34486087,22339.80524,Other,32.78162029,No,681.4734915,No,Male,By_16:00,0.383751713,0.450536342,1.579458883,6.526191102,7.780418177,5.268705301,3035,25.68377876,360.9970112,7536.728938,59840.69724,Yes,464406.1196,18.99992135,262171.5875,33.00079093,1117.416249,50,Below_30,1,814.2595937,20,Motorcycle_or_truck,Public_Sector,842.429869,0,Yes
Greys,6,812.4964886,168039.6291,Social,270.8321629,No,620.4566965,No,Male,By_16:00,0.338405863,0.055921776,4.013665819,5.243751158,8.096668695,5.088305804,9950,24.44463167,603.9424525,7412.45187,73870.21613,Yes,384966.5122,24.57524064,730775.9093,7.27452659,73630.89261,70,45_and_up,2,931.8342267,14,Public_or_other,Services_or_Retail,652.4806996,0,No
Blues,8,856.9527447,170732.7695,Healthcare,285.6509149,No,597.6972613,No,Male,By_16:00,0.688329813,0.546851111,6.132574787,4.041968219,4.623089125,5.781555113,7056,24.12650411,622.2597349,7221.492083,74918.93009,Yes,357242.0162,24.94513449,775673.2394,88.32262182,81892.09611,80,30-45,2,945.3969193,7,Foot_or_bicycle,Hightech,651.1868636,1,No
